rule , K
0 , 0.0
2 , 0.11848417872105958
6 , 0.12937338545903582
3 , 0.07608445613307752
7 , 0.10075340121417885
4 , 0.0005869193905252043
5 , 0.0005899141680994263
1 , 0.0010956670634265147
8 , 0.0
10 , 0.08600018505608996
9 , 0.07372903512033988
11 , 0.09979989022979041
12 , 0.0005827052188282821
14 , 0.0885458134755071
15 , 0.08542321064397972
13 , 0.0005859789756299406
18 , 0.13030454063256328
19 , 0.0010803297830994857
22 , 0.9957093849281132
24 , 0.12242476124085665
23 , 0.001078388257538129
25 , 0.0779477924579502
26 , 0.5330371586085451
27 , 0.06203036836603049
28 , 0.0005827133926295029
32 , 0.0
30 , 0.9958879252362269
29 , 0.0006376170666958232
34 , 0.10605296888483562
35 , 0.06290316283185506
33 , 0.0010912181672698704
36 , 0.0005862041930675729
37 , -0.0006951202920263425
38 , 0.12595133018747398
40 , 0.0
41 , 0.3889281655868959
42 , 0.10490032963191369
43 , 0.07473336030813803
45 , 0.9926167513094961
44 , 0.0005835632086066175
46 , 0.11858499074077644
50 , 0.000646373873005791
51 , 0.0006770491625587317
54 , 0.9713475878128485
56 , 0.11384339257086233
58 , 0.04406006098512545
60 , 0.9896921367301893
57 , 0.01269002456172963
62 , 0.00039622649581843217
72 , 0.0005832679998648329
73 , -0.0006597052993764055
74 , 0.1119162713406008
76 , 0.0005832568499606347
90 , 0.9927747971075356
77 , 0.0005842321838578859
78 , 0.0005847398062953564
94 , -9.664309831869546e-05
104 , 0.000582813754191677
105 , 0.9963288794919529
106 , 0.9918014518942339
108 , 0.0005847375273869971
110 , 0.9542773622997733
122 , 0.9959566257815435
126 , 0.32269171814296355
128 , 0.0
136 , 0.0
130 , 0.11161950355290189
134 , 0.083094029915438
132 , 0.0005850681216037696
138 , 0.07233693550168212
142 , 0.09712165523728644
140 , 0.0005827052188282821
146 , 0.9973208775576917
150 , 0.9955085087970214
152 , 0.11423325200444652
160 , 0.0
154 , 0.750692423611847
156 , 0.0005825920155299174
162 , 0.1013622311867778
164 , 0.0005841238613582577
168 , 1.3931377901815088e-15
170 , 0.10546238221962712
172 , 0.0005843989934777038
178 , 0.000646373873005791
184 , 0.004345406760329434
200 , 0.0005843693061436242
204 , 0.0005830815950093537
232 , 0.0005830076964828917
